segment_id,highway,name,length
0,residential,,0.10474618466935359
1,residential,,0.04063719810340631
2,tertiary,Ghazan Road,0.03818698852300294
3,tertiary,Ghazan Road,0.021512707462237966
4,residential,,0.076189192312638
5,residential,,0.12310119662786084
6,residential,,0.4695352034878209
7,residential,,0.07395304159216844
8,residential,,0.19511540733078145
9,residential,,0.07425718129433179
10,residential,,0.040099649686459966
11,residential,,0.12769924345707578
12,residential,,0.03485400739383995
13,residential,E Block,0.13603139317639532
14,residential,,0.2125475862487891
15,residential,,0.11818885129492557
16,residential,E Block,0.10126253954633793
17,tertiary,,0.6310287655978879
18,residential,,0.2627230610651363
19,secondary_link,,0.007270712050251911
20,residential,service road,0.42614412573714144
21,residential,,0.2911463720883412
22,residential,,0.21469910063942946
23,residential,,0.7800582473693212
24,residential,,0.022336051269870247
25,residential,,0.11547376282717557
26,residential,,0.09551823568263973
27,residential,,0.0713536139423968
28,construction,,0.4907599168088753
29,construction,,0.5841621936146095
30,construction,,0.7855703214265394
31,construction,,1.1974294216421348
32,construction,,0.9217450762916494
33,construction,,2.93025462739703
34,construction,,2.1029496242490593
35,residential,,0.2342587474561876
36,residential,,0.15758113934319368
37,residential,,0.10724819752799487
38,trunk_link,,0.03388915904023518
39,residential,,0.45106186735555165
40,residential,,0.06389205595090718
41,residential,,0.6994826591495567
42,residential,,0.2409522945573675
43,residential,,0.06255406521581114
44,residential,,0.4574815234181294
45,residential,"Main Road, Tech Society",0.5793533205447822
46,residential,,0.029242886523732588
47,residential,,0.19481918156348776
48,residential,,0.027747140553129244
49,residential,,0.22193774666300964
50,residential,,0.07658636080048672
51,residential,,0.01301335928524825
52,residential,,0.22064321402310605
53,residential,"Main Road, Tech Society",0.6438066755911536
54,residential,,0.1136393591094147
55,residential,,0.17467432054277726
56,residential,,0.1947265005723148
57,residential,,0.27863618067766166
58,residential,,0.06275680164186369
59,residential,,0.396304516519741
60,residential,,0.3989710256587478
61,residential,,0.08223711729793946
62,residential,,0.17246279375795337
63,residential,,0.08617161119821956
64,residential,,0.309230851127243
65,residential,,0.026532012684029566
66,residential,,0.18381674673728227
67,residential,,0.08598904256177613
68,residential,,0.07988617363236387
69,residential,,0.35953443833802834
70,residential,,0.4527336220240935
71,residential,,0.07844941878945516
72,residential,,0.062020060774833165
73,residential,,0.2522585465134367
74,residential,,0.1421493997374903
75,residential,,0.17392357240233988
76,residential,,0.12403806388495374
77,residential,,0.006164291666380977
78,residential,,0.08101780560126497
79,trunk_link,,0.29172488473816727
80,residential,,0.23761402337608004
81,residential,,0.3832303713561745
82,trunk_link,,0.2825623508004363
83,residential,,0.21366183151205284
84,residential,,0.4306785606499274
85,residential,,0.20845208916443692
86,residential,,0.10894716405242248
87,residential,,0.1680427071818121
88,residential,,0.16859459887276804
89,residential,,0.22389711989662334
90,residential,,0.5285140562536349
91,residential,,0.024936319919405325
92,residential,,0.015443140469286661
93,residential,,0.037153687772413325
94,residential,,0.026378007766957402
95,residential,,0.022353302860157125
96,residential,,0.08223542631843893
97,residential,,0.1501658785432726
98,tertiary,To Frm Multan Rd,0.4906401153553274
99,residential,,0.1514724198731862
100,residential,,0.17082704853789593
101,residential,Shofait to Wafaqi Colony,0.47497360210262535
102,residential,,0.09733583275424075
103,residential,,0.010337374184059368
104,residential,,0.08134365691239165
105,residential,,0.3016908498406615
106,residential,,0.16826367944470502
107,residential,East Canal Bank Road,1.734185363848593
108,residential,,0.4109085923552597
109,secondary_link,,0.016264458867263555
110,residential,,0.11617139672228856
111,residential,,0.1724458455579409
112,residential,,0.07034908708350025
113,residential,,0.08374917122188322
114,residential,,0.3130567870429644
115,residential,,0.053796820308096585
116,residential,,0.08880877097244504
117,residential,,0.05980674066111323
118,tertiary_link,,0.01444250281021212
119,residential,,0.2573535336644396
120,residential,,0.15856588458643092
121,residential,,0.20771308407987965
122,residential,,0.005693717354698587
123,residential,,0.10210018512758555
124,residential,,0.21732414586569687
125,residential,,0.09643074884508196
126,residential,,0.1961454558443443
127,residential,,0.20431292358454908
128,residential,,0.13123863933426078
129,residential,,0.485789209054988
130,tertiary,Samsani Road,0.5323742525808054
131,residential,,0.2532616524593213
132,residential,,0.10582324486489407
133,residential,,0.1796900436126588
134,tertiary_link,,0.015111086760814161
135,residential,,0.15000840282388717
136,residential,,0.3000166284174226
137,residential,,0.08476552543554769
138,residential,,0.44958432017598726
139,residential,,0.2533456177227645
140,residential,,0.28506025188876766
141,residential,,0.10667085062407973
142,residential,,0.2319651751010618
143,residential,,0.2650267769781283
144,residential,,0.13087745603118361
145,residential,,0.19946041002818066
146,residential,,0.15080392894677092
147,residential,,0.09960405617893117
148,residential,,0.3154096121211557
149,residential,,0.28174421016831047
150,residential,,0.060577877158519026
151,residential,,0.05761122344835271
152,residential,,0.032142877264178554
153,residential,,0.2564706819396668
154,residential,,0.03941677359962393
155,residential,,0.09002138681457222
156,residential,,0.052601906251246874
157,unclassified,,0.10922586487057957
158,residential,,0.1557332786115404
159,residential,,0.13245399003897898
160,residential,,0.0864969144449044
161,service,,0.011516557824896072
162,residential,,0.10476890486503834
163,residential,,0.13125304926608403
164,residential,,0.0837855379794739
165,residential,,0.45666108133719013
166,residential,,0.15494994571490664
167,residential,,0.1997263643928595
168,residential,,0.1143785962745381
169,unclassified,,0.09595397801807935
170,residential,,0.6169592649815686
171,residential,,0.29408417746832166
172,residential,,0.2932038322855831
173,residential,,0.650578688760657
174,residential,,0.2057178596457966
